Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00    24014     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      0.00     0.00    18000     0.00     0.00  std::operator==(std::_Deque_iterator<int, int const&, int const*> const&, std::_Deque_iterator<int, int const&, int const*> const&)
  0.00      0.00     0.00    18000     0.00     0.00  std::operator!=(std::_Deque_iterator<int, int const&, int const*> const&, std::_Deque_iterator<int, int const&, int const*> const&)
  0.00      0.00     0.00    15000     0.00     0.00  std::_Deque_iterator<int, int const&, int const*>::operator*() const
  0.00      0.00     0.00    15000     0.00     0.00  std::_Deque_iterator<int, int const&, int const*>::operator++()
  0.00      0.00     0.00    14006     0.00     0.00  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  0.00      0.00     0.00    14002     0.00     0.00  std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int)
  0.00      0.00     0.00    14002     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.00     0.00    14001     0.00     0.00  std::_Bit_iterator::operator+=(long)
  0.00      0.00     0.00    14001     0.00     0.00  std::_Bit_iterator_base::_M_incr(long)
  0.00      0.00     0.00    14001     0.00     0.00  std::vector<bool, std::allocator<bool> >::begin()
  0.00      0.00     0.00    14001     0.00     0.00  std::operator+(std::_Bit_iterator const&, long)
  0.00      0.00     0.00    14000     0.00     0.00  std::_Bit_iterator::operator*() const
  0.00      0.00     0.00    14000     0.00     0.00  std::_Bit_iterator::operator[](long) const
  0.00      0.00     0.00    14000     0.00     0.00  std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)
  0.00      0.00     0.00    14000     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator[](unsigned long)
  0.00      0.00     0.00    12207     0.00     0.00  std::__deque_buf_size(unsigned long)
  0.00      0.00     0.00    12000     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int const&>(int*, int const&)
  0.00      0.00     0.00    12000     0.00     0.00  std::_Bit_reference::operator bool() const
  0.00      0.00     0.00    12000     0.00     0.00  void std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&)
  0.00      0.00     0.00    12000     0.00     0.00  std::deque<int, std::allocator<int> >::push_back(int const&)
  0.00      0.00     0.00    10000     0.00     0.00  Graph::addEdge(int, int)
  0.00      0.00     0.00    10000     0.00     0.00  std::vector<std::deque<int, std::allocator<int> >, std::allocator<std::deque<int, std::allocator<int> > > >::operator[](unsigned long)
  0.00      0.00     0.00     6000     0.00     0.00  std::_Deque_iterator<int, int const&, int const*>::_Deque_iterator<std::_Deque_iterator<int, int&, int*>, void>(std::_Deque_iterator<int, int&, int*> const&)
  0.00      0.00     0.00     5078     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_Deque_iterator(std::_Deque_iterator<int, int&, int*> const&)
  0.00      0.00     0.00     4095     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_S_buffer_size()
  0.00      0.00     0.00     4081     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_M_set_node(int**)
  0.00      0.00     0.00     4060     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      0.00     0.00     4046     0.00     0.00  __gnu_cxx::new_allocator<int*>::new_allocator()
  0.00      0.00     0.00     4046     0.00     0.00  __gnu_cxx::new_allocator<int*>::~new_allocator()
  0.00      0.00     0.00     4046     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_get_map_allocator() const
  0.00      0.00     0.00     4046     0.00     0.00  std::allocator<int*>::allocator<int>(std::allocator<int> const&)
  0.00      0.00     0.00     4046     0.00     0.00  std::allocator<int*>::~allocator()
  0.00      0.00     0.00     4042     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_Deque_iterator()
  0.00      0.00     0.00     4004     0.00     0.00  std::deque<int, std::allocator<int> >* std::__addressof<std::deque<int, std::allocator<int> > >(std::deque<int, std::allocator<int> >&)
  0.00      0.00     0.00     3039     0.00     0.00  std::deque<int, std::allocator<int> >::end()
  0.00      0.00     0.00     3021     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_get_Tp_allocator()
